tweetText,tweetCreated,tweetLength,negSentiment,neuSentiment,posSentiment,comSentiment,Sentiment_Label
Dennis Pursley on Alabama's 200 medley relay win https://t.co/1soN3jdwqt via @YouTube,########,85,0,0.725,0.275,0.5859,Neutral
"RT @itsrachelle21: the emotional depth and clarity thatâ€™s here is just pure talentðŸ‘Œout of this world really. 
 
 Juan Karlos | Biyak (Lyric Viâ€¦",########,140,0,0.823,0.177,0.5106,Neutral
@pewdiepie Your video still isn't trending @YouTube what the hell.,########,66,0.338,0.662,0,-0.6808,Neutral
burning spear weeping and wailing + dub - live 1987 https://t.co/vGRou4pXN6 via @YouTube,########,88,0.225,0.775,0,-0.4404,Positive
"Gil Scott Heron- Angel Dust https://t.co/YmnocQOq51 via @YouTube
 
 HAPPY BIRTHDAY KING",########,84,0,0.619,0.381,0.6739,Neutral
Jigsaw Foundation community funding https://t.co/PMFQ6oD2FF via @YouTube,########,72,0,1,0,0,Neutral
@Michelle_RTR @YouTube Hope you have a great day!ðŸ™ðŸ»,########,51,0,0.407,0.593,0.807,Neutral
RT @Find_Kemo: #FindKemo The Cancer Support Dog https://t.co/fynUpO9ZMF via @YouTube @KarenFi51820768 #MondayMotivaton https://t.co/4epHoFdâ€¦,########,140,0.243,0.608,0.149,-0.4019,Neutral
RT @SanremoAncheNoi: #jazz [DISTORTION] Spanish Laughing Man El Risitas - Content Aware Scale https://t.co/xYlkATmSY5 via @YouTube,########,130,0,0.814,0.186,0.4939,Neutral
RT @connectorno2la1: connector no 2las music https://t.co/fplyn6SnFW via @YouTube,########,81,0.216,0.784,0,-0.296,Neutral
"@usali0039 @YouTube ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„mail received fro multan ! 
 
 largest supplier of beggars for terrorist state Pakistan",########,120,0.277,0.723,0,-0.7177,Neutral
Linda Ronstadt &amp; Aaron Neville - Don't Know Much Subtitulado https://t.co/GpTAPDSuAr via @YouTube. For my Heart!!!,########,120,0,1,0,0,Neutral
"Jeanine Pirro Rips The FBI, DOJ &amp; CIA - Opening Statement https://t.co/6VJUU4ZipO via @YouTube",########,99,0,1,0,0,Neutral
